course,prof,gpa,% of A,% of B,section_,semester
URPN 361,LEE R,3.549,61%,33%,500,2018 Fall
URPN 361,TRAN T,3.340,50%,42%,700,2018 Fall
URPN 369,WU K,4.000,100%,0%,500,2018 Fall
URPN 370,LOPEZ M,3.487,74%,11%,500,2018 Fall
URPN 370,NEWTON K,3.693,83%,10%,700,2018 Fall
URPN 460,ROGERS G,3.214,25%,71%,500,2018 Fall
URPN 460,ROGERS G,3.370,44%,48%,501,2018 Fall
URPN 471,WINSLOW J,2.461,15%,46%,500,2018 Fall
URPN 494,MARTIN J,4.000,100%,0%,550,2018 Fall
URSC 631,NDUBISI F,4.000,100%,0%,600,2018 Fall
URSC 632,GODDARD T,4.000,100%,0%,600,2018 Fall
URSC 641,ROGERS G,3.833,83%,17%,600,2018 Fall
ARTS 103,LABADESSA S,2.333,33%,0%,501,2018 Fall
ARTS 103,REID R,4.000,100%,0%,502,2018 Fall
ARTS 104,REID R,4.000,100%,0%,505,2018 Fall
ARTS 104,HONEYCUTT A,3.333,46%,42%,506,2018 Fall
ARTS 104,HONEYCUTT A,3.208,42%,46%,507,2018 Fall
ARTS 104,HONEYCUTT A,3.647,65%,35%,508,2018 Fall
ARTS 111,REID R,3.687,81%,6%,501,2018 Fall
ARTS 115,DAVISON R,2.846,23%,54%,501,2018 Fall
ARTS 115,PEREIRA C,3.000,24%,65%,502,2018 Fall
ARTS 115,KNOX B,3.142,36%,43%,503,2018 Fall
ARTS 115,ROGERS B,3.400,53%,33%,504,2018 Fall
ARTS 115,DAVISON R,2.937,19%,62%,505,2018 Fall
ARTS 115,SIMANDL K,3.052,16%,79%,506,2018 Fall
ARTS 115,LABADESSA S,3.000,50%,20%,507,2018 Fall
ARTS 149,CAMPANA L,4.000,100%,0%,200,2018 Fall
ARTS 149,CAMPANA L,3.491,60%,32%,500,2018 Fall
ARTS 149,CAMPANA L,3.484,70%,12%,501,2018 Fall
ARTS 149,SUTHERLAND S,3.391,59%,23%,701,2018 Fall
ARTS 149,SUTHERLAND S,3.426,65%,24%,702,2018 Fall
ARTS 150,LEIDERMAN D,3.684,68%,32%,200,2018 Fall
ARTS 150,LEIDERMAN D,3.681,73%,23%,501,2018 Fall
ARTS 150,LEIDERMAN D,3.348,52%,36%,502,2018 Fall
ARTS 150,CAMPANA L,3.765,88%,5%,701,2018 Fall
ARTS 150,SUTHERLAND S,3.671,73%,23%,702,2018 Fall
ARTS 150,STOENESCU L,3.476,65%,22%,703,2018 Fall
ARTS 150,ZAWADZKI M,3.701,76%,18%,704,2018 Fall
ARTS 150,ZAWADZKI M,3.641,69%,30%,705,2018 Fall
ARTS 150,STOENESCU L,3.826,90%,6%,706,2018 Fall
ARTS 210,EILERS H,3.066,40%,40%,500,2018 Fall
