course,prof,gpa,% of A,% of B,section_,semester
KINE 120,KUPPERSMITH N,3.814,85%,11%,879,2019 Fall
KINE 120,WAITE L,3.793,79%,21%,880,2019 Fall
KINE 120,WAITE L,3.826,83%,17%,881,2019 Fall
KINE 120,KUPPERSMITH N,3.666,83%,7%,882,2019 Fall
KINE 120,NOTTINGHAM K,3.407,59%,30%,883,2019 Fall
KINE 121,SZURA J,3.400,60%,25%,501,2019 Fall
KINE 121,COHEN L,3.472,58%,33%,502,2019 Fall
KINE 121,COHEN L,3.589,74%,13%,503,2019 Fall
KINE 121,GOMEZ D,2.897,36%,33%,504,2019 Fall
KINE 121,POOLEY-DETWILER A,3.472,58%,31%,505,2019 Fall
KINE 198,LOCKLEAR A,3.529,65%,24%,901,2019 Fall
KINE 198,NETHERLAND B,3.800,87%,7%,902,2019 Fall
KINE 198,POOLEY-DETWILER A,3.750,95%,5%,903,2019 Fall
KINE 198,GOMEZ D,3.842,95%,0%,904,2019 Fall
KINE 198,SZURA J,3.600,80%,10%,905,2019 Fall
KINE 198,BREKKEN K,3.750,80%,15%,907,2019 Fall
KINE 199,WILLINGHAM K,4.000,100%,0%,001,2019 Fall
KINE 199,WAITE L,3.818,82%,18%,002,2019 Fall
KINE 199,DANNENBAUM J,3.181,55%,23%,014,2019 Fall
KINE 199,GOMEZ D,3.625,79%,12%,015,2019 Fall
KINE 199,WENZEL T,3.904,90%,10%,016,2019 Fall
KINE 199,BREKKEN K,3.500,75%,17%,017,2019 Fall
KINE 199,SPORTSMAN-DARNELL G,3.545,73%,18%,026,2019 Fall
KINE 199,WOODARD D,4.000,100%,0%,028,2019 Fall
KINE 199,THOMAS F,3.833,83%,17%,044,2019 Fall
KINE 199,SZURA J,4.000,100%,0%,046,2019 Fall
KINE 199,NELSON C,4.000,100%,0%,047,2019 Fall
KINE 199,SZURA J,2.750,83%,0%,049,2019 Fall
KINE 199,COADY W,4.000,100%,0%,050,2019 Fall
KINE 199,COADY W,2.714,67%,17%,051,2019 Fall
KINE 199,COADY W,3.230,82%,18%,052,2019 Fall
KINE 199,COHEN L,3.692,100%,0%,053,2019 Fall
KINE 199,COADY W,3.428,100%,0%,057,2019 Fall
KINE 199,COADY W,3.916,92%,8%,058,2019 Fall
KINE 199,COHEN L,4.000,100%,0%,059,2019 Fall
KINE 199,THOMAS F,4.000,100%,0%,061,2019 Fall
KINE 199,BIN MOHD,4.000,100%,0%,063,2019 Fall
KINE 199,AGNOR D,4.000,100%,0%,064,2019 Fall
KINE 199,AGNOR D,4.000,100%,0%,065,2019 Fall
KINE 199,SPORTSMAN-DARNELL G,3.714,71%,29%,066,2019 Fall
KINE 199,SLAGEL K,4.000,100%,0%,067,2019 Fall
KINE 199,SPORTSMAN-DARNELL G,4.000,100%,0%,068,2019 Fall
KINE 199,DIXON S,4.000,100%,0%,082,2019 Fall
KINE 199,DIXON S,4.000,100%,0%,083,2019 Fall
KINE 199,MARCUM T,4.000,100%,0%,085,2019 Fall
KINE 199,HANIK M,4.000,100%,0%,089,2019 Fall
KINE 199,MARCUM T,4.000,100%,0%,090,2019 Fall
KINE 199,SCHAKEL D,3.777,78%,22%,100,2019 Fall
KINE 199,SCHAKEL D,3.750,88%,0%,102,2019 Fall
KINE 199,SCHAKEL D,4.000,100%,0%,103,2019 Fall
KINE 199,SCHAKEL D,4.000,100%,0%,105,2019 Fall
KINE 199,SCHAKEL D,3.750,75%,25%,106,2019 Fall
KINE 199,SCHAKEL D,4.000,100%,0%,107,2019 Fall
KINE 199,SCHAKEL D,3.777,78%,22%,110,2019 Fall
KINE 199,SCHAKEL D,4.000,100%,0%,113,2019 Fall
KINE 199,ISENHART M,4.000,100%,0%,121,2019 Fall
KINE 199,KIRSCHNER S,4.000,100%,0%,125,2019 Fall
KINE 199,LOCKLEAR A,4.000,100%,0%,128,2019 Fall
KINE 199,DANNENBAUM J,4.000,100%,0%,133,2019 Fall
KINE 199,LOCKLEAR A,3.285,83%,17%,136,2019 Fall
KINE 199,LOCKLEAR A,3.625,75%,12%,137,2019 Fall
KINE 199,DANNENBAUM J,3.833,83%,17%,143,2019 Fall
KINE 199,DANNENBAUM J,3.818,82%,18%,150,2019 Fall
KINE 199,BYRNE K,4.000,100%,0%,161,2019 Fall
KINE 199,WOODARD D,3.750,75%,25%,170,2019 Fall
KINE 199,WOODARD D,3.857,86%,14%,171,2019 Fall
KINE 199,BASSETT K,4.000,100%,0%,172,2019 Fall
KINE 199,WAITE L,4.000,100%,0%,176,2019 Fall
KINE 199,WOLFE J,4.000,100%,0%,198,2019 Fall
KINE 199,TOMCHESSON M,4.000,100%,0%,204,2019 Fall
KINE 199,WRIGHT M,4.000,100%,0%,206,2019 Fall
KINE 199,WRIGHT M,4.000,100%,0%,207,2019 Fall
KINE 199,ELLIS R,3.600,80%,0%,208,2019 Fall
KINE 199,ELLIS R,4.000,100%,0%,209,2019 Fall
KINE 199,TOMCHESSON M,3.600,80%,0%,210,2019 Fall
KINE 199,CAMPBELL A,3.285,83%,17%,214,2019 Fall
KINE 199,ELLIS R,3.833,83%,17%,216,2019 Fall
KINE 199,ALVAREZ A,4.000,100%,0%,218,2019 Fall
KINE 199,NETHERLAND B,4.000,100%,0%,219,2019 Fall
KINE 199,NETHERLAND B,4.000,100%,0%,220,2019 Fall
KINE 199,VENABLE L,3.764,100%,0%,224,2019 Fall
KINE 199,WAITE L,3.600,100%,0%,225,2019 Fall
KINE 199,WAITE L,4.000,100%,0%,226,2019 Fall
KINE 199,GOMEZ D,3.333,100%,0%,242,2019 Fall
KINE 199,GOMEZ D,3.833,83%,17%,243,2019 Fall
KINE 199,GOMEZ D,3.800,100%,0%,250,2019 Fall
KINE 199,ISENHART M,4.000,100%,0%,254,2019 Fall
KINE 199,SZURA J,4.000,100%,0%,256,2019 Fall
KINE 199,SZURA J,4.000,100%,0%,258,2019 Fall
KINE 199,THORNTON M,4.000,100%,0%,263,2019 Fall
KINE 199,BERTHOT P,3.900,90%,10%,266,2019 Fall
KINE 199,NELSON C,4.000,100%,0%,292,2019 Fall
KINE 199,NELSON C,4.000,100%,0%,293,2019 Fall
KINE 199,ISENHART M,4.000,100%,0%,294,2019 Fall
